Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
University of Virginia,No,0,NA,0,NA,I need the money right now more than they do.,No,Agree,4,Disagree,2,2021,2,nonloyal,50,50,Female,45 - 54,"$60,000 - $69,999",Professional degree,Treatment
Lake Norman Humane,Yes,1,0.5,0.5,To help out,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,150,150,Male,25 - 34,"$100,000 - $149,999",Some college,Control
Marine Mammal Center,No,0,NA,0,NA,I'm broke right now.,No,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,20,20,Female,25 - 34,"$10,000 - $19,999",4 year degree,Control
Red Cross,No,0,NA,0,NA,I have already donated to this charity this year,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,45 - 54,"$30,000 - $39,999",Doctorate,Treatment
Arbor Day Foundation,Yes,1,0.5,0.5,They plant trees all over the world. It does the earth good,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,25,25,Male,25 - 34,"$10,000 - $19,999",High school graduate,Control
Save The Children,Yes,1,0.3,0.3,I feel this is a wonderful organization to give to.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Female,35 - 44,"$30,000 - $39,999",High school graduate,Treatment
Trump Campaign,No,0,NA,0,NA,I do not support the fake Covid narrative,No,Agree,4,Neither agree nor disagree,3,2019,2,nonloyal,300,300,Female,55 - 64,"$10,000 - $19,999",High school graduate,Control
red cross,No,0,NA,0,NA,I've donated to them already.,No,Strongly agree,5,Neither agree nor disagree,3,2021,2,nonloyal,500,500,Male,35 - 44,"$90,000 - $99,999",4 year degree,Control
Human Rights Campaign,No,0,NA,0,NA,I need the money for bills.,No,Strongly agree,5,Strongly disagree,1,2020,4,nonloyal,20,20,Male,25 - 34,"Less than $10,000",Some college,Control
Words Alive,No,0,NA,0,NA,The amount seems like it would be too low to make a difference. Plus it would probably get eaten by processing fees.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Male,25 - 34,"$90,000 - $99,999",Professional degree,Control
St Jude Children's Hospital,Yes,1,0.3,0.3,They need the funds and they do great work.,NA,NA,Agree,4,Disagree,2,2021,3,loyal,250,250,Male,45 - 54,"$60,000 - $69,999",4 year degree,Treatment
NC Zoo,No,0,NA,0,NA,I will give on my own.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,25 - 34,"$60,000 - $69,999",4 year degree,Control
St Judes,No,0,NA,0,NA,I'd rather give on my own.,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,20,20,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
St. Judes,No,0,NA,0,NA,I have already given what I can for this year.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Female,35 - 44,"Less than $10,000",High school graduate,Control
Tabs for a Cause,No,0,NA,0,NA,I've done so already,Yes,Agree,4,Strongly disagree,1,2021,2,nonloyal,3,3,Female,25 - 34,"Less than $10,000",Some college,Treatment
Three Square,No,0,NA,0,NA,"I give when I am able, in the amount that feels right to me, not when donations are asked of me.",No,Strongly agree,5,Disagree,2,2021,5,loyal,100,100,Female,45 - 54,"$100,000 - $149,999",Professional degree,Control
goodwill,No,0,NA,0,NA,my finances are low right now,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,10,10,Female,45 - 54,"Less than $10,000",Some college,Treatment
Compassion International,No,0,NA,0,NA,I give monthly already.,No,Agree,4,Disagree,2,2021,5,loyal,500,500,Female,55 - 64,"$80,000 - $89,999",4 year degree,Treatment
St. Jude,Yes,1,0.5,0.5,They are an incredibly important organization. I try to donate to them whenever I can.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,45 - 54,"$30,000 - $39,999",High school graduate,Control
The Sierra Club,No,0,NA,0,NA,Money is really tight in my home right now and we don't have the extra to give,No,Agree,4,Strongly disagree,1,2018,2,nonloyal,100,100,Female,25 - 34,"$40,000 - $49,999",Professional degree,Treatment
RSPCA Burton,Yes,1,0.5,0.5,"I understand money adds up, but I feel it is extremely important to donate no matter how much or little you have. It brings me happiness and internal peace to help.",NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,35,35,Female,18 - 24,"$20,000 - $29,999",Professional degree,Control
NAMI,Yes,1,0.3,0.3,i can afford to,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,25 - 34,"$60,000 - $69,999",Professional degree,Control
ASPCA,No,0,NA,0,NA,I already give an amount to them every month,No,Strongly agree,5,Disagree,2,2021,5,loyal,600,600,Male,65 - 74,"$100,000 - $149,999",4 year degree,Treatment
st judes,No,0,NA,0,NA,yes,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Female,35 - 44,"Less than $10,000",Some college,Control
Children's Miracle Network,No,0,NA,0,NA,"I prefer to donate directly to them to ensure that they receive my donation. No offense, but there are too many scams out there today.",No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$10,000 - $19,999",4 year degree,Treatment
St. Jude,No,0,NA,0,NA,0,No,Strongly agree,5,Disagree,2,2021,5,loyal,100,100,Female,55 - 64,"$10,000 - $19,999",Some college,Treatment
American Red Cross,Yes,1,0.1,0.1,"I already gave a rather large sum recently, so an extra few cents won't hurt. However, I don't want to go overboard as I would like to wait a while before donating more",NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,150,150,Male,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
ASACP,Yes,1,0.5,0.5,I like the charity and the letter made me feel included,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,45 - 54,"$60,000 - $69,999",Some college,Control
Independent Fundamental Baptist Missions,Yes,1,0.5,0.5,"I truly believe missions is a cause that has more than immediate effects. It's investing in others eternities, through the spreading of the Gospel in the US and all around the world.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,600,600,Female,18 - 24,"$30,000 - $39,999",Some college,Treatment
Red Cross,Yes,1,0.1,0.1,"Because Red Cross helps victims of the Boulder County fire in Colorado, which helps my community.",NA,NA,Agree,4,Disagree,2,2021,3,loyal,50,50,Female,35 - 44,"$60,000 - $69,999",4 year degree,Treatment
Berkeley Humane Society,No,0,NA,0,NA,I don't have any disposable income to give at the moment.,No,Agree,4,Disagree,2,2018,1,nonloyal,50,50,Male,35 - 44,"$20,000 - $29,999",Professional degree,Treatment
Death Penalty Action,Yes,1,0.5,0.5,It's a cause I really care about and 50c isn't going to break me,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,60,60,Female,25 - 34,"$70,000 - $79,999",Professional degree,Treatment
ASPCA,Yes,1,0.5,0.5,I believe in the ASPCA's mission,NA,NA,Agree,4,Strongly disagree,1,2019,3,nonloyal,100,100,Male,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Iowa Parrot Rescue,No,0,NA,0,NA,Just recently donated,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Female,55 - 64,"$10,000 - $19,999",Some college,Control
St Judes Children Hospital,Yes,1,0.5,0.5,its is a great charity,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,45 - 54,"$100,000 - $149,999",Professional degree,Control
Children's Hospital,Yes,1,0.2,0.2,Proven to save lives,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,45 - 54,"$60,000 - $69,999",Some college,Treatment
The Salvation Army,Yes,1,0.5,0.5,"Because I wanted to help The Salvation Army, they're a charity I really support",NA,NA,Strongly agree,5,Disagree,2,2021,4,loyal,20,20,Female,25 - 34,"$10,000 - $19,999",High school graduate,Treatment
